LAName,LACode,English region,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Chelmsford,E07000070,East of England,13,11.5,7.2,7.4,6.9,6.17,7.9,8.1,7.9,10.59
Cheltenham,E07000078,South West,13.4,13,8.9,11,11.4,10.6,9.6,10.4,8.1,11
Chichester,E07000225,South East,14.7,14.3,8.7,8.3,9.5,9.34,9.3,9.3,9.5,7.54
Colchester,E07000071,East of England,14.3,12.8,8.3,8.4,7.8,7.12,9.5,10.1,9.4,12.8
Darlington,E07000096,North East,20.7,19.2,7.5,7.8,7.3,6.69,8,8.4,7.4,13.98
Daventry,E07000107,East Midlands,13.9,15.6,7.1,7.5,7.2,8.68,8.2,7.7,6.8,11.23
East Cambridgeshire,E07000009,East of England,13.7,12.5,7.2,7.3,8,7.35,8.5,8.3,9.9,13.66
East Hertfordshire,E07000242,East of England,12.7,11.7,7.5,7.3,7.5,6.9,7.6,7.8,7.3,10.4
East Riding of Yorkshire,E06000011,Yorkshire and the Humber,18.1,17.6,8.3,8.2,10.1,10.16,9.7,8.5,9.4,13.95
Eastbourne,E07000061,South East,12.5,11.1,7.9,8.5,8.6,9.52,9.4,9.7,8.5,8.47
Epping Forest,E07000072,East of England,15.8,13.6,8.2,8.3,7.8,7.15,8.1,9,8.2,11.26
Fenland,E07000010,East of England,19.2,16,8.2,7.9,7.5,6.96,10.8,10.1,10.8,15.81
Gloucester,E07000081,South West,13.5,12.2,8.8,10.7,9.6,8.8,9.4,10.3,7.9,10.42
Guildford,E07000209,South East,10.9,10.1,8,7.8,8,8.96,9.1,8.5,7.1,6.86
Harborough,E07000131,East Midlands,14.9,17.1,10.6,7.9,8.4,9.9,8.8,6.9,8.9,9.67
Harlow,E07000073,East of England,13.2,9,6.4,7.3,7.1,6.44,7.9,8.1,7.5,13.33
Hastings,E07000062,South East,14.6,13.1,10.8,11.8,11.8,11.34,11.8,13.3,11.5,10.79
Havant,E07000090,South East,11.6,9.6,6.7,7.4,6.8,9.04,9,8.6,7.8,7.45
Havering,E09000016,London,12.5,10.1,6.9,7.5,8.4,7.81,8,9.9,9,13.16
Hertsmere,E07000098,East of England,13.6,12.3,8,8.2,7.3,6.69,8.5,9,7.6,10.57
Kensington and Chelsea,E09000020,London,10,9.6,8.8,10.7,14.3,8.72,8.7,11.7,12.4,12.86
Lewes,E07000063,South East,13.3,12.2,7.2,7.7,8.2,8.48,8.8,8.8,8,7.07
Maidstone,E07000110,South East,12.5,10.8,7.9,7.8,8.1,9.69,8.8,8.5,8,7.74
Maldon,E07000074,East of England,15.3,14.3,7.9,8.3,9.1,8.47,9,9,10.7,12.13
North Hertfordshire,E07000099,East of England,13.9,12.1,8.4,8.2,8,7.34,8.5,8.8,7.8,12.11
Richmond upon Thames,E09000027,London,10,9.5,7.6,7.7,9.5,7.38,6.9,9.4,9.9,10.61
Rochford,E07000075,East of England,15.1,13.3,6.5,7.2,6.2,5.48,7.6,8.6,8.5,10
Sevenoaks,E07000111,South East,11.9,11.2,7.9,7.7,8.7,7.97,8.2,8.2,7.3,6.67
South Cambridgeshire,E07000012,East of England,12.8,12.4,7.3,7.1,7.9,7.24,8,8,8.3,10.31
South Northamptonshire,E07000155,East Midlands,13.5,15.4,10.1,8.1,9.5,10.32,9,6.8,9.7,10.49
South Ribble,E07000126,North West,16.6,14.9,7.9,7.9,7.8,9.93,10.5,9.5,9.3,10.75
St. Albans,E07000240,East of England,13.4,12.5,8,7.9,7.2,6.59,7.8,8.3,6.9,9.29
Sutton,E09000029,London,10.1,8.6,7.4,7.7,8.1,7.53,8.6,9.1,8.4,12.86
Swale,E07000113,South East,13.2,11,8.3,8.8,8.7,10.28,10,9.8,9.2,9.09
Swindon,E06000030,South West,11.7,10,7.6,9.8,9.8,8.98,8.8,9.1,6.8,9.63
Tewkesbury,E07000083,South West,12.7,12.7,7.5,9.1,9.4,8.52,8.4,8.8,7.4,8.38
