LAName,LACode,English region,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Allerdale,E07000026,North West,23.5,21.5,11.3,10.5,12.7,11.35,12.3,11.9,13.8,16.14
Barrow-in-Furness,E07000027,North West,21.1,18.8,13.1,14.4,12.3,13.49,15.3,15.1,14.4,14.27
Birmingham,E08000025,West Midlands,23.3,17.9,20.1,18.9,14.1,15.57,16.8,16.2,14.2,21.16
Blackburn with Darwen,E06000008,North West,20.9,18.2,14,13.6,12.4,13.96,14.4,16.5,14.6,16.4
Blackpool,E06000009,North West,24.2,20.9,13.5,14.1,13.2,13.45,15.9,17.5,15.2,16.26
Boston,E07000136,East Midlands,22.6,22,13.2,10.5,11.4,13.89,13.7,9.9,12,16.37
Bradford,E08000032,Yorkshire and the Humber,19.2,17.9,14.2,14.1,13.2,15.04,14.3,13.5,12.4,18.35
Brent,E09000005,London,11.5,9.8,11.6,12,11.7,13.1,12.9,14.9,13.7,17.29
Burnley,E07000117,North West,22.2,19,13.5,14.2,13.5,14.65,15.1,16.4,13.6,16.4
Cornwall UA,E06000052,South West,19.1,19.1,11.4,14.4,14.9,14.15,12.8,13.2,12.6,11.47
Coventry,E06000047,West Midlands,21.1,16.2,11.4,11.5,12.2,13.33,14,11.8,9.8,18.78
Craven,E08000026,Yorkshire and the Humber,22.7,23.6,16.3,15.9,13,14.42,15.3,14.7,12.1,15.37
Dartford,E06000005,South East,11.2,8.8,11.8,12.5,12.6,14.08,13.7,12.2,9,7.47
Derbyshire Dales,E06000015,East Midlands,24.4,27.4,16,12.8,10.7,14.44,13.2,10.8,11.6,13.5
Doncaster,E07000035,Yorkshire and the Humber,20.1,18.4,15.6,11.3,12.2,12.41,10.9,8.9,12.6,17.78
East Lindsey,E07000137,East Midlands,23.8,25,13.2,10.4,11.5,12.75,12.8,10.1,14.4,15.28
East Staffordshire,E07000193,West Midlands,21.5,17.1,14.6,13.9,12.3,13.79,14,12.6,11.2,16.76
Eden,E07000030,North West,29.1,28.3,13,11.4,16.4,12.78,11.2,11.9,14.7,14.29
Haringey,E09000014,London,11.7,10,10.1,11.9,13.3,12.57,12.6,14.5,14.4,18.25
"Herefordshire, County of",E06000019,West Midlands,27.1,23.7,16.4,14.1,15.1,16.65,13.5,12.2,12.9,16.54
Hyndburn,E07000120,North West,21.9,18.7,13.2,14,13,14.42,14.1,15.4,13.1,15.56
Isles of Scilly UA,E06000053,South West,23.7,22.2,19.7,22.4,20.4,19.41,15.5,12.5,20.9,11.74
"Kingston upon Hull, City of",E06000010,Yorkshire and the Humber,17.6,16.3,11.1,11.7,13.2,13.81,13.8,12,10.6,19.57
Lancaster,E07000121,North West,21,20.2,12,11.6,11.8,12.76,13,13.6,13.8,14.51
Leicester,E06000016,East Midlands,21.2,19.9,21.3,16.6,13.5,18.19,15.2,13.9,14.6,18.98
Lincoln,E07000138,East Midlands,19.2,19.3,15.2,11.9,11.6,14.64,13.3,10.6,11,15.36
Liverpool,E08000012,North West,22.8,19.3,14.4,14.5,14.3,14.34,17,17.6,15.6,18.14
Malvern Hills,E07000235,West Midlands,23.7,21.7,15.2,12.6,14.1,15.55,12.6,11.3,12.2,15.11
Manchester,E08000003,North West,22.4,18,15.9,14.9,14.5,15.29,16.2,17.9,15.5,19.84
Middlesbrough,E06000002,North East,22.6,20.8,15.1,15.4,14.3,15.61,17,15.4,11.9,16.52
Newcastle upon Tyne,E08000021,North East,21.2,18.8,13.4,13,13.3,14.82,14.4,13,10.6,16.37
Newcastle-under-Lyme,E07000195,West Midlands,21.6,16.8,13.4,12.1,11.3,12.78,12.9,11.3,10.9,18.04
Newham,E09000025,London,12.4,10.2,13.8,14.9,13.6,15.66,15.3,19.1,16.1,21.71
North Devon,E07000043,South West,19.2,19.3,11,13.6,13.9,13.13,11.6,12.6,11.7,11.54
North Norfolk,E07000147,East of England,24.2,22.3,11.2,10.4,12,11.25,11.1,11.6,13.5,15.78
Northumberland,E06000057,North East,22.6,21.2,11.8,11.4,13.3,13.08,12.8,11.1,9.8,14.12
Nottingham,E06000018,East Midlands,21.8,20.5,18.4,14,12.6,15.83,14.6,12.6,13.9,18.49
Pendle,E07000122,North West,23.7,20.7,15,15.7,14,15.82,15.8,17.3,15.2,17.28
Preston,E07000123,North West,19.7,17.1,13,12.9,12.4,13.99,14.1,15.1,13.4,15.11
Richmondshire,E07000166,Yorkshire and the Humber,23.9,24.3,10.7,9.6,15.2,12.28,9.5,9,10.4,16.25
Ryedale,E07000167,Yorkshire and the Humber,25.4,26,11.9,10.6,15.9,13.31,11.2,10,11.7,16.13
Sandwell,E08000028,West Midlands,24.1,17.5,18,16.4,12.8,14.3,16.9,15.2,12,20.95
Scarborough,E07000168,Yorkshire and the Humber,22.7,22.7,12.1,11.7,13.8,12.34,12.1,11.6,12.1,16.76
Shropshire UA,E06000051,West Midlands,25,21.2,15.4,13.2,14.6,16.02,13.1,11.8,12.3,16.48
South Lakeland,E07000031,North West,23.2,23.2,11.6,10.1,11.9,10.15,10.5,10.9,12.5,11.95
Staffordshire Moorlands,E07000198,West Midlands,24.6,19.3,13.5,12.1,11.5,12.95,12.4,10.8,11.4,16.16
Stoke-on-Trent,E06000021,West Midlands,25,18.4,16.1,14.7,12.5,14.02,15.4,14.7,12.4,21.82
Sunderland,E08000024,North East,21.3,18.7,11.7,12.4,12.7,13.99,15.3,12.6,9.2,15.26
Torridge,E07000046,South West,21.6,21.4,11.4,14,15,14.18,12.4,13.2,12.6,11.82
Walsall,E08000030,West Midlands,22.6,16.7,16.2,14.3,11.7,13.18,14.4,13.7,11.8,19.35
Waltham Forest,E09000031,London,12.8,10.4,11,12.1,12.1,13.22,13.5,14.6,14.2,21.06
West Devon,E07000047,South West,21.1,22,11.6,13.8,15.2,14.39,11.7,12.6,12.3,11.48
Wolverhampton,E08000031,West Midlands,24.3,18.2,18.3,16.3,13.1,14.58,15.2,14.4,12.7,21.13
