"","LAName","LACode","English region","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","x2010","x2011","x2012","x2013","x2014","x2015","x2016","x2017","x2018","x2019","clustering4","clustering5","clustering6","clustering7","clustering8"
"21","Milton Keynes","E06000042","South East",0.08,0.06,5.4,6.3,6,7.93,7.5,6.9,5.9,6.33,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1
"22","City of London","E09000001","London",0.05,0.03,2.4,3.9,5.7,4.85,4.9,4.2,5.5,6.36,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"23","South Oxfordshire","E07000179","South East",0.11,0.1,7.1,7.4,8.3,8.52,7.9,7.7,7.3,6.4,2,2,2,2,3,3,1,1,2,1,1,1,1,1,1
"24","Test Valley","E07000093","South East",0.1,0.09,6.6,6.6,8.4,8.31,7.6,7.3,6.9,6.43,1,1,1,1,3,2,1,1,1,1,1,1,1,1,1
"25","Epsom and Ewell","E07000208","South East",0.11,0.1,8,7.9,7.4,7.53,8.5,7.7,6.6,6.47,2,2,3,3,2,2,2,2,1,1,1,1,1,1,1
"26","Vale of White Horse","E07000180","South East",0.11,0.1,6.9,7.1,8,8.36,7.9,7.4,6.9,6.49,2,2,2,1,2,2,1,1,1,1,1,1,1,1,1
"27","Winchester","E07000094","South East",0.11,0.11,7.6,7.5,8.6,8.66,8.4,8.1,7.8,6.54,2,3,2,2,3,3,2,2,2,1,1,1,1,1,1
"28","Spelthorne","E07000213","South East",0.11,0.09,6.4,7.1,7,7.68,7.5,7.1,6,6.6,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1
"29","Sevenoaks","E07000111","South East",0.12,0.11,7.9,7.7,8.7,7.97,8.2,8.2,7.3,6.67,2,3,3,2,3,2,2,2,2,1,1,1,1,1,1
"30","Wealden","E07000065","South East",0.15,0.15,7.8,7.4,8,8.53,8.5,8.3,8.5,6.7,4,5,3,2,2,3,2,2,3,1,2,2,2,2,2
"31","West Oxfordshire","E07000181","South East",0.11,0.1,6.9,6.9,8.5,8.67,7.6,7.3,7.4,6.85,2,2,2,1,3,3,1,1,2,1,1,1,1,1,1
"32","Guildford","E07000209","South East",0.11,0.1,8,7.8,8,8.96,9.1,8.5,7.1,6.86,2,2,3,3,2,3,3,3,1,2,1,1,1,1,1
"33","Tonbridge and Malling","E07000115","South East",0.1,0.09,7.2,7.3,7.5,8.31,8.1,7.9,7.3,6.95,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1
"34","Lewes","E07000063","South East",0.13,0.12,7.2,7.7,8.2,8.48,8.8,8.8,8,7.07,3,4,2,2,3,3,3,3,2,2,2,2,2,2,2
"35","Arun","E07000224","South East",0.13,0.12,6.7,7.5,7.2,8.83,8.8,8.6,7.9,7.17,3,4,1,2,1,3,3,3,2,2,2,2,2,2,2
