LAName,LACode,English region,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
East Devon,E07000040,South West,0.17,0.18,9.1,11,11.3,10.49,9.6,10.3,9.7,9.47
Swindon,E06000030,South West,0.12,0.1,7.6,9.8,9.8,8.98,8.8,9.1,6.8,9.63
Blaby,E07000129,East Midlands,0.14,0.14,9.6,8,7.2,10.02,9.1,7,8.4,9.66
Harborough,E07000131,East Midlands,0.15,0.17,10.6,7.9,8.4,9.9,8.8,6.9,8.9,9.67
Wiltshire UA,E06000054,South West,0.13,0.13,7.9,10,12.6,11.76,9,9.3,8.2,9.82
Oxford,E07000178,South East,0.13,0.11,12.4,11.9,11.9,12.83,11.9,11.7,10.5,9.85
Rushcliffe,E07000176,East Midlands,0.15,0.17,11.5,8.7,8.6,9.98,10,7.7,8.8,9.86
Dover,E08000017,South East,0.15,0.13,10,9.8,11.6,11.32,12.1,10.8,9.6,9.9
Teignbridge,E07000045,South West,0.16,0.17,9.3,11.8,11.7,10.87,10.5,10.9,9.6,9.9
Rochford,E07000075,East of England,0.15,0.13,6.5,7.2,6.2,5.48,7.6,8.6,8.5,10
Cotswold,E07000079,South West,0.16,0.17,9.7,11.1,14.5,13.7,9.2,10.2,9.5,10.12
Brentwood,E07000068,East of England,0.15,0.14,7.7,7.7,7,6.26,8.1,8.4,7.5,10.15
Stroud,E07000082,South West,0.16,0.16,9.2,10.6,11.1,10.39,9.4,9.9,8.8,10.16
Oadby and Wigston,E07000135,East Midlands,0.16,0.16,11.9,9.6,8.2,11.98,9.6,8.2,8.9,10.2
Bath and North East Somerset,E06000022,South West,0.14,0.14,9.5,12.1,13.2,12.39,9.6,10.9,9.1,10.25
Reading,E06000038,South East,0.12,0.1,10.7,11.2,10.8,13.86,11.9,10.9,9,10.3
South Cambridgeshire,E07000012,East of England,0.13,0.12,7.3,7.1,7.9,7.24,8,8,8.3,10.31
East Hertfordshire,E07000242,East of England,0.13,0.12,7.5,7.3,7.5,6.9,7.6,7.8,7.3,10.4
Gloucester,E07000081,South West,0.14,0.12,8.8,10.7,9.6,8.8,9.4,10.3,7.9,10.42
Brighton and Hove,E06000043,South East,0.14,0.12,10.7,11.9,12.3,12.7,11.4,11.7,11.2,10.48
South Northamptonshire,E07000155,East Midlands,0.14,0.15,10.1,8.1,9.5,10.32,9,6.8,9.7,10.49
Mendip,E07000187,South West,0.16,0.16,9.1,11.2,12.4,11.62,9.9,10.7,9.4,10.52
Torbay,E06000027,South West,0.16,0.16,9.8,12.8,11.6,10.82,10.8,12.6,10,10.54
Thanet,E07000114,South East,0.17,0.15,10.1,10.3,10.1,11.28,11.4,12.3,10.7,10.55
Broxbourne,E07000095,East of England,0.13,0.1,6.3,7.5,6.6,5.99,7.4,8.1,7.5,10.56
Hertsmere,E07000098,East of England,0.14,0.12,8,8.2,7.3,6.69,8.5,9,7.6,10.57
Chelmsford,E07000070,East of England,0.13,0.12,7.2,7.4,6.9,6.17,7.9,8.1,7.9,10.59
Richmond upon Thames,E09000027,London,0.1,0.1,7.6,7.7,9.5,7.38,6.9,9.4,9.9,10.61
Three Rivers,E07000102,East of England,0.14,0.13,8.4,8,7.1,6.36,8.1,8.8,7.4,10.69
Portsmouth,E06000044,South East,0.13,0.1,10.7,12.3,11.8,14.46,12.3,12.1,10.8,10.71
Southampton,E06000045,South East,0.12,0.1,10.1,10.3,9.8,12.44,11.6,11.5,10.4,10.71
South Ribble,E07000126,North West,0.17,0.15,7.9,7.9,7.8,9.93,10.5,9.5,9.3,10.75
Hastings,E07000062,South East,0.15,0.13,10.8,11.8,11.8,11.34,11.8,13.3,11.5,10.79
Sedgemoor,E07000188,South West,0.16,0.15,8.7,11,12,11.24,10.5,10.8,9.6,10.82
Cheshire East UA,E06000049,North West,0.18,0.17,9.5,8.8,10.1,10.01,10.8,10.5,9.8,10.89
Dacorum,E09000008,East of England,0.13,0.11,8.8,9.9,9.7,10.04,10.7,11.5,11.2,10.98
Cheltenham,E07000078,South West,0.13,0.13,8.9,11,11.4,10.6,9.6,10.4,8.1,11
South Somerset,E07000189,South West,0.16,0.16,9.2,11.2,13,12.17,10.2,10.5,10,11.01
Fylde,E07000119,North West,0.18,0.18,8.1,8.1,8.8,8.54,9.7,10.2,9.7,11.19
Daventry,E07000107,East Midlands,0.14,0.16,7.1,7.5,7.2,8.68,8.2,7.7,6.8,11.23
Epping Forest,E07000072,East of England,0.16,0.14,8.2,8.3,7.8,7.15,8.1,9,8.2,11.26
Huntingdonshire,E07000011,East of England,0.11,0.1,6.3,7,6.7,6.09,8.3,8.1,8.4,11.35
Broadland,E07000144,East of England,0.16,0.15,6.7,7.1,7.2,6.57,8.9,8.8,9.5,11.39
Hinckley and Bosworth,E07000132,East Midlands,0.15,0.16,10.7,8.6,8.6,11.21,10.1,7.6,9,11.43
Castle Point,E07000069,East of England,0.17,0.14,6.6,7.6,6.4,5.64,9.3,10,9,11.44
Cornwall UA,E06000052,South West,0.19,0.19,11.4,14.4,14.9,14.15,12.8,13.2,12.6,11.47
West Devon,E07000047,South West,0.21,0.22,11.6,13.8,15.2,14.39,11.7,12.6,12.3,11.48
Gedling,E07000173,East Midlands,0.16,0.17,11,9.1,8.7,11.43,11,8.3,9.4,11.49
Mid Devon,E07000042,South West,0.19,0.19,10.5,12.8,14.4,13.63,11,11.2,11,11.54
North Devon,E07000043,South West,0.19,0.19,11,13.6,13.9,13.13,11.6,12.6,11.7,11.54
Warrington,E06000007,North West,0.17,0.14,8.3,8,8.4,9.83,10.1,9.8,9.1,11.57
Central Bedfordshire UA,E06000056,East of England,0.13,0.11,7.2,7.7,7.3,6.67,8,8.4,8.4,11.58
Bromsgrove,E07000234,West Midlands,0.18,0.14,10.9,9.8,9.1,10.58,10,9,8.4,11.67
Ribble Valley,E07000124,North West,0.2,0.2,9.8,9.4,11.6,10.63,10,10.2,11.1,11.7
Isles of Scilly UA,E06000053,South West,0.24,0.22,19.7,22.4,20.4,19.41,15.5,12.5,20.9,11.74
Rutland,E06000017,East Midlands,0.16,0.18,11.9,9.3,10.6,11.33,10.3,8,10.9,11.74
South Derbyshire,E07000039,East Midlands,0.16,0.16,11,9,9.1,11.29,10.5,7.9,9.8,11.77
Basildon,E07000066,East of England,0.13,0.1,6.1,7,6.3,5.66,7.8,8.4,7.8,11.82
Torridge,E07000046,South West,0.22,0.21,11.4,14,15,14.18,12.4,13.2,12.6,11.82
Charnwood,E07000130,East Midlands,0.16,0.16,12.6,9.7,8.9,12.51,10.8,8.8,10.1,11.83
Exeter,E07000041,South West,0.13,0.13,10.7,13.1,12.3,11.52,11.6,12.4,10.4,11.86
Chorley,E07000118,North West,0.17,0.15,8.2,8.2,8.7,9.81,10.6,9.8,10,11.87
Bromley,E09000006,London,0.11,0.1,7.1,7.6,8.5,6.91,8.1,9.1,8.6,11.89
Uttlesford,E07000077,East of England,0.17,0.17,9.4,8.5,9.7,8.96,8.8,9.3,9.3,11.89
North Kesteven,E07000139,East Midlands,0.16,0.18,9.8,7.7,9.1,10.28,10.5,7.3,10.4,11.91
South Lakeland,E07000031,North West,0.23,0.23,11.6,10.1,11.9,10.15,10.5,10.9,12.5,11.95
Cheshire West and Chester UA and Chester UA,E06000050,North West,0.18,0.16,9.4,8.9,10,10.14,11.3,10.9,10.6,11.96
Wyre,E07000128,North West,0.21,0.2,8.6,9,9.3,9.82,10.8,10.9,11.1,12
Welwyn Hatfield,E07000241,East of England,0.14,0.11,8.7,8.6,8,7.38,9.2,9.9,8.3,12.01
Stevenage,E07000243,East of England,0.12,0.09,6.3,7.3,7.1,6.43,7.7,8,7.4,12.04
North Hertfordshire,E07000099,East of England,0.14,0.12,8.4,8.2,8,7.34,8.5,8.8,7.8,12.11
South Kesteven,E07000141,East Midlands,0.16,0.17,11.4,8.9,10.3,11.61,10.6,8.2,10,12.12
Maldon,E07000074,East of England,0.15,0.14,7.9,8.3,9.1,8.47,9,9,10.7,12.13
Stockport,E08000007,North West,0.19,0.17,9.7,9.2,9.8,10.24,10.7,10.7,9.8,12.15
Broxtowe,E07000172,East Midlands,0.17,0.17,12,9.7,9.1,11.9,11.8,8.6,9.6,12.35
