LAName,LACode,English region,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Allerdale,E07000026,North West,0.24,0.22,11.3,10.5,12.7,11.35,12.3,11.9,13.8,16.14
Staffordshire Moorlands,E07000198,West Midlands,0.25,0.19,13.5,12.1,11.5,12.95,12.4,10.8,11.4,16.16
North Warwickshire,E07000218,West Midlands,0.2,0.15,11.8,10.7,10.3,11.87,11.2,9.8,10.6,16.22
Bolsover,E07000033,East Midlands,0.21,0.2,12.4,9.8,9.9,11.62,11.7,9.3,10.8,16.24
Richmondshire,E07000166,Yorkshire and the Humber,0.24,0.24,10.7,9.6,15.2,12.28,9.5,9,10.4,16.25
Blackpool,E06000009,North West,0.24,0.21,13.5,14.1,13.2,13.45,15.9,17.5,15.2,16.26
Boston,E07000136,East Midlands,0.23,0.22,13.2,10.5,11.4,13.89,13.7,9.9,12,16.37
Newcastle upon Tyne,E08000021,North East,0.21,0.19,13.4,13,13.3,14.82,14.4,13,10.6,16.37
Enfield,E09000010,London,0.12,0.1,8.8,10.6,10.6,9.29,11.3,12.6,12.7,16.39
Great Yarmouth,E07000145,East of England,0.21,0.18,10.7,11.3,10.5,9.83,12.8,13.2,12.7,16.39
Blackburn with Darwen,E06000008,North West,0.21,0.18,14,13.6,12.4,13.96,14.4,16.5,14.6,16.4
Burnley,E07000117,North West,0.22,0.19,13.5,14.2,13.5,14.65,15.1,16.4,13.6,16.4
Croydon,E07000226,London,0.11,0.1,5.8,6.7,6.8,8.46,7.7,6.9,6.6,16.43
Hackney,E09000012,London,0.11,0.09,8.1,9.4,10.5,9.82,10.2,11.9,12.2,16.47
Shropshire UA,E06000051,West Midlands,0.25,0.21,15.4,13.2,14.6,16.02,13.1,11.8,12.3,16.48
Middlesbrough,E06000002,North East,0.23,0.21,15.1,15.4,14.3,15.61,17,15.4,11.9,16.52
"Herefordshire, County of",E06000019,West Midlands,0.27,0.24,16.4,14.1,15.1,16.65,13.5,12.2,12.9,16.54
Greenwich,E09000011,London,0.11,0.09,8.3,9.2,9.9,9.2,10,11.3,11.1,16.66
Calderdale,E08000033,Yorkshire and the Humber,0.2,0.19,11.6,11.7,12.2,13.55,12.2,10.7,10.2,16.7
North East Lincolnshire,E06000012,Yorkshire and the Humber,0.2,0.18,10.1,10.8,12.3,12.22,12.9,11.5,10.1,16.7
East Staffordshire,E07000193,West Midlands,0.22,0.17,14.6,13.9,12.3,13.79,14,12.6,11.2,16.76
Scarborough,E07000168,Yorkshire and the Humber,0.23,0.23,12.1,11.7,13.8,12.34,12.1,11.6,12.1,16.76
Kirklees,E08000034,Yorkshire and the Humber,0.19,0.18,12,11.8,11.6,13.97,13.1,11.4,10.6,16.81
Leeds,E08000035,Yorkshire and the Humber,0.17,0.16,11.6,11.6,11.9,13.5,13.1,11.1,10.3,16.82
Dudley,E07000108,West Midlands,0.21,0.15,9.3,9.5,9.8,10.76,9.9,10.1,10.1,16.93
King's Lynn and West Norfolk,E07000146,East of England,0.21,0.19,9.2,8.8,10.8,10.1,11,10.7,12.2,16.96
Rotherham,E08000018,Yorkshire and the Humber,0.18,0.17,9.8,9,10.5,10.63,11.4,10.1,9.5,17.05
Pendle,E07000122,North West,0.24,0.21,15,15.7,14,15.82,15.8,17.3,15.2,17.28
Brent,E09000005,London,0.12,0.1,11.6,12,11.7,13.1,12.9,14.9,13.7,17.29
Ipswich,E07000202,East of England,0.19,0.15,11.8,11.5,9.5,8.86,12.1,12.8,10.6,17.34
Wakefield,E08000036,Yorkshire and the Humber,0.19,0.17,9.3,8.6,10.2,10.93,11.2,9.5,8.8,17.34
Sheffield,E08000019,Yorkshire and the Humber,0.18,0.18,11.3,10.9,12.4,12.32,12.2,10.7,10.4,17.46
Doncaster,E07000035,Yorkshire and the Humber,0.2,0.18,15.6,11.3,12.2,12.41,10.9,8.9,12.6,17.78
Newcastle-under-Lyme,E07000195,West Midlands,0.22,0.17,13.4,12.1,11.3,12.78,12.9,11.3,10.9,18.04
Liverpool,E08000012,North West,0.23,0.19,14.4,14.5,14.3,14.34,17,17.6,15.6,18.14
Lewisham,E09000023,London,0.11,0.09,8,10,10.5,10.2,10.7,10.9,12.1,18.23
Haringey,E09000014,London,0.12,0.1,10.1,11.9,13.3,12.57,12.6,14.5,14.4,18.25
Bradford,E08000032,Yorkshire and the Humber,0.19,0.18,14.2,14.1,13.2,15.04,14.3,13.5,12.4,18.35
Nottingham,E06000018,East Midlands,0.22,0.21,18.4,14,12.6,15.83,14.6,12.6,13.9,18.49
Barnsley,E08000016,Yorkshire and the Humber,0.2,0.18,9.7,9.2,11.3,11.34,12.2,10.7,9.7,18.64
Norwich,E07000148,East of England,0.18,0.14,12.2,11.5,10.5,9.88,12.3,12.9,11.1,18.74
Coventry,E06000047,West Midlands,0.21,0.16,11.4,11.5,12.2,13.33,14,11.8,9.8,18.78
Leicester,E06000016,East Midlands,0.21,0.2,21.3,16.6,13.5,18.19,15.2,13.9,14.6,18.98
Walsall,E08000030,West Midlands,0.23,0.17,16.2,14.3,11.7,13.18,14.4,13.7,11.8,19.35
"Kingston upon Hull, City of",E06000010,Yorkshire and the Humber,0.18,0.16,11.1,11.7,13.2,13.81,13.8,12,10.6,19.57
Manchester,E08000003,North West,0.22,0.18,15.9,14.9,14.5,15.29,16.2,17.9,15.5,19.84
Sandwell,E08000028,West Midlands,0.24,0.18,18,16.4,12.8,14.3,16.9,15.2,12,20.95
Waltham Forest,E09000031,London,0.13,0.1,11,12.1,12.1,13.22,13.5,14.6,14.2,21.06
Wolverhampton,E08000031,West Midlands,0.24,0.18,18.3,16.3,13.1,14.58,15.2,14.4,12.7,21.13
Birmingham,E08000025,West Midlands,0.23,0.18,20.1,18.9,14.1,15.57,16.8,16.2,14.2,21.16
Newham,E09000025,London,0.12,0.1,13.8,14.9,13.6,15.66,15.3,19.1,16.1,21.71
Stoke-on-Trent,E06000021,West Midlands,0.25,0.18,16.1,14.7,12.5,14.02,15.4,14.7,12.4,21.82
Barking and Dagenham,E09000002,London,0.14,0.1,10.1,11.1,10.6,10.03,11.6,13.2,12.3,22.47
